epoch,train_loss,val_loss,auc,auc_weighted,accuracy,accuracy_weighted,n_stopped,n_through,lr,time_s
1,0.37871277343255716,0.22545301914215088,0.9787993441107578,0.9687325591703416,0.892572472714702,0.9079402089118958,104741,97749,0.00018585405369650986,1694.3597543239594
2,0.3168932096414532,0.20680932700634003,0.982230677915371,0.9778095856024487,0.9099066620573856,0.9025542736053467,104741,97749,0.0004541864887229996,1569.3826768398285
3,0.27570822498703423,0.17570647597312927,0.9855188474749325,0.9807888109840925,0.9342782359622698,0.9215012192726135,104741,97749,0.0004998632284759998,1702.2495279312134
4,0.2498428233288106,0.17006252706050873,0.9865724647736278,0.9816376961519159,0.9365894612079609,0.9297695159912109,104741,97749,0.0004987704717405531,1623.2523136138916
5,0.23937163785495588,0.16259929537773132,0.9883577589626724,0.984190592798451,0.9397402340856339,0.9319339990615845,104741,97749,0.0004965899094014797,1590.8953204154968
6,0.23134907234139862,0.16199009120464325,0.9862865387906521,0.9813589796020274,0.9270136796878858,0.9266778826713562,104741,97749,0.0004933310765030714,1583.8795866966248
7,0.2258667235507591,0.14506575465202332,0.9895127934555705,0.9859269153132632,0.9415378537211714,0.9306617379188538,104741,97749,0.0004890082230924235,1599.2223000526428
8,0.22262214060152224,0.14253385365009308,0.9893205261245894,0.9853770431803163,0.9424564176008692,0.9384143948554993,104741,97749,0.0004836402519076044,1584.6868472099304
9,0.21852251430726158,0.16886743903160095,0.9901938343925156,0.9865868183695646,0.9360462245049138,0.9265719056129456,104741,97749,0.00047725063572079206,1588.1085133552551
10,0.2169853898922662,0.17423459887504578,0.989092795190598,0.9856582609393854,0.9322435675835844,0.9256778359413147,104741,97749,0.000469867314697813,1602.2737815380096
11,0.21299737662444299,0.14797063171863556,0.9892452335085175,0.9858658180854571,0.9405995357795447,0.931748628616333,104741,97749,0.00046152257422290676,1573.8282012939453
12,0.21152382140965043,0.16156381368637085,0.9894978138612593,0.9859131831426773,0.9358388068546595,0.9234160780906677,104741,97749,0.0004522529037229546,1583.5019931793213
13,0.20919694273771458,0.1411759853363037,0.9898952006705533,0.9857884885040149,0.9395970171366487,0.9283836483955383,104741,97749,0.0004420988371085006,1594.6543350219727
14,0.2076103095949525,0.15269529819488525,0.9905659356278591,0.9874378508422907,0.9423477702602597,0.929197371006012,104741,97749,0.0004311047755292741,1568.8165383338928
15,0.20464444082517616,0.14029115438461304,0.9907571059535487,0.9868016284111122,0.9448861672181342,0.9347472786903381,104741,97749,0.00041931879321925884,1569.5337398052216
16,0.20366819552351942,0.13794606924057007,0.9911127708625849,0.9878351431259267,0.9453454491579831,0.9359638094902039,104741,97749,0.0004067924272803001,1924.796718120575
17,0.20190964707417128,0.12948350608348846,0.9913714343863234,0.9881660409904969,0.947730752135908,0.9404485821723938,104741,97749,0.00039358045232347103,1567.027083158493
18,0.2001171598332203,0.13781987130641937,0.9906102559504353,0.9875136727276992,0.945142970023211,0.9374058842658997,104741,97749,0.00037974064095363543,1630.6353690624237
19,0.19797191201878755,0.14061099290847778,0.9909671027907386,0.9875194308907477,0.9469603437206776,0.9394097328186035,104741,97749,0.0003653335111445458,1584.6286981105804
20,0.1967923931257067,0.14035160839557648,0.9913836645570981,0.9874347217032402,0.9451775396315868,0.9340576529502869,104741,97749,0.00035042206160914257,1593.2100269794464
21,0.19511659647774907,0.14174780249595642,0.9911939245919112,0.9880548321398877,0.9461751197590005,0.9373666048049927,104741,97749,0.0003350714963222114,1606.0609567165375
22,0.19274550466651072,0.13574768602848053,0.9910583714528851,0.9872752151580937,0.9482986814163662,0.9414551854133606,104741,97749,0.0003193489393999918,1585.8820550441742
23,0.19129410597664104,0.14227916300296783,0.9907613119137371,0.9876422960757896,0.9436910464714307,0.9310580492019653,104741,97749,0.00030332314158349567,1581.0701472759247
24,0.18937501133838727,0.14102941751480103,0.9914275230366866,0.9878560442563662,0.9426786507975703,0.9322426319122314,104741,97749,0.0002870641796090099,1597.6909804344177
25,0.18771739329791873,0.13967782258987427,0.9913046524860561,0.9877889084165815,0.9469405896587486,0.9380954504013062,104741,97749,0.0002706431497803586,1606.7840192317963
26,0.1856854606311481,0.14112839102745056,0.9913535609601312,0.9880108370360511,0.9450590152600128,0.9327868223190308,104741,97749,0.00025413185708285586,1618.233645915985
27,0.18272612453703257,0.14253491163253784,0.9912274836847337,0.988057195383641,0.9456565756333646,0.9345981478691101,104741,97749,0.00023760250119837488,1567.0665984153748
